"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
790.8,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
790.9,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
791,37.8799448819,37.4223772205,39.1249450029,-0.0201466682483
791.1,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
791.2,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
791.3,37.8552409679,37.4223772205,39.1249450029,-0.00684986720444
791.4,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
791.5,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
791.6,37.8799448819,37.4223772205,39.1249450029,-0.0201466682483
791.7,37.8552409679,37.4223772205,39.1249450029,-0.0136997344089
791.8,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
791.9,37.8552409679,37.4223772205,39.1249450029,-0.0201466682483
792,37.8799448819,37.3977861718,39.1249450029,-0.00684986720444
792.1,37.8799448819,37.3977861718,39.1249450029,-0.000402933364967
792.2,37.8799448819,37.4223772205,39.1249450029,-0.000402933364967
792.3,37.8799448819,37.4223772205,39.1249450029,-0.00684986720444
792.4,37.8552409679,37.3977861718,39.1249450029,-0.0201466682483
792.5,37.8799448819,37.3977861718,39.1249450029,-0.000402933364967
792.6,37.8799448819,37.3977861718,39.1249450029,-0.00684986720444
792.7,37.8799448819,37.3977861718,39.1249450029,-0.00684986720444
792.8,37.8799448819,37.3977861718,39.1249450029,-0.0136997344089
792.9,37.8799448819,37.3977861718,39.099911422,0.0060440004745
793,37.8799448819,37.3977861718,39.1249450029,-0.00684986720444
793.1,37.8799448819,37.371664691,39.099911422,-0.000402933364967
793.2,37.8799448819,37.3977861718,39.099911422,-0.00684986720444
793.3,37.8552409679,37.371664691,39.1249450029,-0.0201466682483
793.4,37.8799448819,37.371664691,39.099911422,-0.0136997344089
793.5,37.8552409679,37.371664691,39.099911422,-0.0136997344089
793.6,37.8799448819,37.371664691,39.099911422,-0.00684986720444
