"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
378.7,38.7205600159,37.7256469153,40.0072042329,-0.974695809855
378.8,38.7719846829,37.7518605764,40.0846936405,-0.987992610899
378.9,38.6691639514,37.7256469153,40.1100116663,-0.541139509151
379,38.7205600159,37.6747813155,40.0324991145,-0.810701930313
379.1,38.7470479306,37.7256469153,40.0072042329,-0.383189630084
379.2,38.7205600159,37.7765385956,40.0846936405,-1.11934888788
379.3,38.6691639514,37.7009815571,40.1622540841,-0.751470725663
379.4,38.7470479306,37.7009815571,40.0324991145,-1.42195184497
379.5,38.798487384,37.7518605764,40.1100116663,-1.39535824288
379.6,38.7205600159,37.8027657416,40.1369203857,-1.19832382741
379.7,38.7205600159,37.7009815571,40.1369203857,-1.09960515299
379.8,38.798487384,37.7518605764,40.0578015366,-1.09960515299
379.9,38.8234380852,37.8027657416,40.1369203857,-0.541139509151
380,38.7719846829,37.8274564831,40.1622540841,-1.07341448427
380.1,38.8234380852,37.7256469153,40.1100116663,-0.560883244034
380.2,38.8234380852,37.8027657416,40.0578015366,-0.974695809855
380.3,38.8483955727,37.8274564831,40.1622540841,-0.521395774267
380.4,38.7719846829,37.7765385956,40.2145289327,-1.27729876695
380.5,38.8234380852,37.7518605764,40.1369203857,-0.514948840428
380.6,38.8483955727,37.8274564831,40.1100116663,-1.25755503206
380.7,38.8234380852,37.8521534153,40.2145289327,-0.896123803686
380.8,38.798487384,37.8027657416,40.2414711035,-1.35587077311
380.9,38.8483955727,37.8027657416,40.1622540841,-0.968248876015
381,38.9264316292,37.8521534153,40.2145289327,-1.40865504392
381.1,38.8483955727,37.9031104514,40.2414711035,-1.36272064032
381.2,38.8749203561,37.8027657416,40.2414711035,-1.39535824288
381.3,38.8998918886,37.8521534153,40.1622540841,-1.19187689357
381.4,38.9779720383,37.8784007051,40.2414711035,-1.22451449613
381.5,38.8483955727,37.8784007051,40.266836355,-1.15238942381
381.6,38.8998918886,37.8027657416,40.2145289327,-0.435973900894
381.7,38.9264316292,37.8784007051,40.1622540841,-0.942058207293
381.8,38.9514172715,37.9031104514,40.266836355,-0.383189630084
381.9,38.8998918886,37.8274564831,40.3191764945,-0.593520846596
382,38.9514172715,37.8027657416,40.2145289327,-1.15238942381
382.1,38.9779720383,37.8784007051,40.2414711035,-0.626561382524
382.2,38.9264316292,37.929371389,40.266836355,-1.40865504392
382.3,38.8998918886,37.8521534153,40.3461524122,-0.922314472409
382.4,38.9779720383,37.8784007051,40.2414711035,-1.40220811008
382.5,39.0295417176,37.9031104514,40.266836355,-0.849786466715
382.6,38.9514172715,37.929371389,40.3191764945,-1.25070516486
382.7,39.0029718554,37.8274564831,40.2937953623,-1.34297690543
382.8,39.0295417176,37.8784007051,40.2145289327,-1.41510197776
382.9,39.0545557749,37.9031104514,40.266836355,-1.30993636951
383,38.9779720383,37.9031104514,40.3461524122,-1.19832382741
383.1,39.0295417176,37.8274564831,40.266836355,-0.987992610899
383.2,39.0295417176,37.9031104514,40.2414711035,-1.04722381555
383.3,39.0295417176,37.929371389,40.2937953623,-0.771214460547
383.4,39.0029718554,37.8784007051,40.3461524122,-1.06011768323
383.5,39.0545557749,37.8521534153,40.266836355,-0.626561382524
383.6,39.0795767599,37.9031104514,40.3191764945,-0.48835523834
383.7,39.0295417176,37.929371389,40.3461524122,-1.29019263462
383.8,39.0029718554,37.8784007051,40.371549495,-0.909017671365
383.9,39.1061691645,37.9031104514,40.266836355,-0.66604885229
384,39.1312044867,37.929371389,40.3191764945,-1.22451449613
384.1,39.0545557749,37.9540940112,40.3461524122,-0.817148864153
384.2,39.1061691645,37.9031104514,40.2937953623,-1.29019263462
384.3,39.1061691645,37.929371389,40.266836355,-1.2640019659
384.4,39.1828618846,37.9540940112,40.3461524122,-1.25755503206
384.5,39.0545557749,37.9031104514,40.371549495,-1.23096142997
384.6,39.1312044867,37.8784007051,40.2937953623,-0.942058207293
384.7,39.1312044867,37.9540940112,40.266836355,-1.30348943567
384.8,39.1312044867,37.9803686623,40.3461524122,-1.11934888788
384.9,39.0795767599,37.9031104514,40.3985423973,-0.278024021827
385,39.1312044867,37.9031104514,40.3191764945,-1.19187689357
385.1,39.1828618846,37.9540940112,40.371549495,-0.54758644299
385.2,39.1312044867,38.0051042225,40.3985423973,-1.34297690543
385.3,39.0795767599,37.9031104514,40.450965462,-0.922314472409
385.4,39.1578121595,37.9540940112,40.3461524122,-1.48762998346
385.5,39.2094848952,37.9803686623,40.3985423973,-1.01418327962
385.6,39.1312044867,38.0051042225,40.4239555007,-1.09315821916
385.7,39.1828618846,37.9031104514,40.371549495,-1.27044889974
385.8,39.1828618846,37.9803686623,40.3461524122,-0.935208340088
385.9,39.2345490889,38.0051042225,40.4239555007,-0.968248876015
386,39.1312044867,37.929371389,40.450965462,-0.587073912757
386.1,39.2094848952,37.9031104514,40.371549495,-1.23096142997
386.2,39.2094848952,38.0051042225,40.3461524122,-0.817148864153
386.3,39.2094848952,38.0051042225,40.450965462,-0.593520846596
386.4,39.1312044867,37.9540940112,40.5034217512,-0.652752051246
386.5,39.2345490889,37.9540940112,40.371549495,-1.41510197776
386.6,39.2596203214,38.0051042225,40.450965462,-1.41510197776
386.7,39.2094848952,38.0808960993,40.4763946562,-1.32968010439
386.8,39.2094848952,37.9803686623,40.4763946562,-1.06011768323
386.9,39.2596203214,38.0051042225,40.371549495,-0.889273936482
387,39.3113520349,38.0561412135,40.4763946562,-0.994439544738
387.1,39.2345490889,38.0561412135,40.4763946562,-0.843339532876
387.2,39.2596203214,38.0051042225,40.4239555007,-1.25755503206
387.3,39.3113520349,38.0561412135,40.371549495,-0.646305117407
387.4,39.3113520349,38.0808960993,40.4763946562,-1.05367074939
387.5,39.2345490889,38.0298460779,40.5034217512,-0.455717635778
387.6,39.3113520349,38.0298460779,40.4239555007,-1.16528329148
387.7,39.3113520349,38.1319730912,40.4239555007,-1.32968010439
387.8,39.2862662358,38.1319730912,40.4763946562,-1.30348943567
387.9,39.2345490889,38.0808960993,40.5543203227,-0.817148864153
388,39.3113520349,38.1072051127,40.4239555007,-1.1064550202
388.1,39.3631138934,38.1319730912,40.4763946562,-0.935208340088
388.2,39.3113520349,38.1830771826,40.4763946562,-1.15883635764
388.3,39.3113520349,38.1072051127,40.5034217512,-0.567330177873
388.4,39.3380134615,38.1582960488,40.4239555007,-0.810701930313
388.5,39.3897909026,38.1582960488,40.5034217512,-0.343702160317
